Boy-Girl,Grade,Team,Date,Game,Time,Location,Team 1,Team 2
Girls,5,St Pats-Arm ^^ 5G C Bl,2025-12-20,P22,13:30:00,St Patrick-Armonk,St Pats-Arm ^^ 5G C Bl,OLPH-Pel 5G C Bl
Girls,5,St Pats-Arm ^^ 5G C Bl,2025-12-21,P8,18:00:00,St Joseph-Bronxville,St Joes-Bxville 5G C Bl,St Pats-Arm ^^ 5G C Bl
Girls,5,St Pats-Arm ^^ 5G C Bl,2026-01-10,P2,13:30:00,St Patrick-Armonk,St Pats-Arm ^^ 5G C Bl,St Joes-Bxville 5G C Bl
Girls,5,St Pats-Arm ^^ 5G C Bl,2026-01-11,P23,13:00:00,St Patrick-Armonk,St Pats-Arm ^^ 5G C Bl,OL Loretto-CS ^^ 5G C Bl
Girls,5,St Pats-Arm ^^ 5G C Bl,2026-01-18,P16,13:00:00,OLPH/St Catharine-Pelham,OLPH-Pel 5G C Bl,St Pats-Arm ^^ 5G C Bl
Girls,5,St Pats-Arm ^^ 5G C Bl,2026-01-24,P17,16:45:00,OL Loretto-Philipstown 1,OL Loretto-CS ^^ 5G C Bl,St Pats-Arm ^^ 5G C Bl
Girls,5,St Pats-Arm ^^ 5G C Bl,2026-01-25,P20,15:30:00,St Joseph-Bronxville,St Joes-Bxville 5G C Bl,St Pats-Arm ^^ 5G C Bl
Girls,5,St Pats-Arm ^^ 5G C Bl,2026-01-31,P10,13:30:00,St Patrick-Armonk,St Pats-Arm ^^ 5G C Bl,OLPH-Pel 5G C Bl
Girls,5,St Pats-Arm ^^ 5G C Bl,2026-02-07,P11,12:15:00,St Patrick-Armonk,St Pats-Arm ^^ 5G C Bl,OL Loretto-CS ^^ 5G C Bl
Girls,5,St Pats-Arm 5G A,2025-11-23,P3,16:15:00,St Johns-Mahopac,St John-Mah 5G A,St Pats-Arm 5G A
Girls,5,St Pats-Arm 5G A,2025-12-13,P11,15:30:00,IC-Tuckahoe,IC-Tuck 5G A,St Pats-Arm 5G A
Girls,5,St Pats-Arm 5G A,2025-12-20,P34,14:45:00,St Patrick-Armonk,St Pats-Arm 5G A,Annunciation 5G A
Girls,5,St Pats-Arm 5G A,2026-01-04,P4,14:15:00,St Patrick-Armonk,St Pats-Arm 5G A,Annunciation 5G A
Girls,5,St Pats-Arm 5G A,2026-01-10,P19,15:00:00,Annunciation OL Fatima,Annunciation 5G A,St Pats-Arm 5G A
Girls,5,St Pats-Arm 5G A,2026-01-11,P9,11:45:00,St Patrick-Armonk,St Pats-Arm 5G A,IHM-Scars 5G A
Girls,5,St Pats-Arm 5G A,2026-01-17,P18,08:30:00,St Patrick-Armonk,St Pats-Arm 5G A,St John-Mah 5G A
Girls,5,St Pats-Arm 5G A,2026-01-24,P24,12:15:00,IHM-Scarsdale,IHM-Scars 5G A,St Pats-Arm 5G A
Girls,5,St Pats-Arm 5G A,2026-01-25,P29,14:15:00,Transfiguration,Transfig 5G A,St Pats-Arm 5G A
Girls,5,St Pats-Arm 5G A,2026-01-31,P14,14:45:00,St Patrick-Armonk,St Pats-Arm 5G A,Transfig 5G A
Girls,5,St Pats-Arm 5G A,2026-02-01,P33,11:15:00,St Johns-Mahopac,St John-Mah 5G A,St Pats-Arm 5G A
Girls,5,St Pats-Arm 5G A,2026-02-07,P26,13:30:00,St Patrick-Armonk,St Pats-Arm 5G A,IC-Tuck 5G A
Girls,5,St Pats-Arm 6G B,2026-01-04,P30,11:45:00,St Patrick-Armonk,St Pats-Arm 6G B,St James 6G B
Girls,6,St Pats-Arm ^^ 6G C Bl,2025-11-23,P11,20:30:00,OLPH/St Catharine-Pelham,OLPH-Pel 6G C Bl,St Pats-Arm ^^ 6G C Bl
Girls,6,St Pats-Arm ^^ 6G C Bl,2025-12-06,P4,17:15:00,St Patrick-Armonk,St Pats-Arm ^^ 6G C Bl,Annunciation 6G C Bl
Girls,6,St Pats-Arm ^^ 6G C Bl,2025-12-07,P18,13:30:00,Reformed Church Brnxvill,Reformed CH Blue^^ 6G C Bl,St Pats-Arm ^^ 6G C Bl
Girls,6,St Pats-Arm ^^ 6G C Bl,2025-12-13,P9,12:00:00,St Patrick-Armonk,St Pats-Arm ^^ 6G C Bl,St John Baptist 6G C Bl
Girls,6,St Pats-Arm ^^ 6G C Bl,2025-12-20,P14,17:15:00,St Patrick-Armonk,St Pats-Arm ^^ 6G C Bl,Holy Name-Cr 6G C Bl
Girls,6,St Pats-Arm ^^ 6G C Bl,2026-01-03,P19,18:30:00,St Patrick-Armonk,St Pats-Arm ^^ 6G C Bl,St John-Mah 6G C Bl
Girls,6,St Pats-Arm ^^ 6G C Bl,2026-01-04,P25,15:30:00,Annunciation OL Fatima,Annunciation 6G C Bl,St Pats-Arm ^^ 6G C Bl
Girls,6,St Pats-Arm ^^ 6G C Bl,2026-01-11,P30,14:30:00,St John the Baptist,St John Baptist 6G C Bl,St Pats-Arm ^^ 6G C Bl
Girls,6,St Pats-Arm ^^ 6G C Bl,2026-01-17,P32,19:45:00,St Patrick-Armonk,St Pats-Arm ^^ 6G C Bl,OLPH-Pel 6G C Bl
Girls,6,St Pats-Arm ^^ 6G C Bl,2026-01-23,P35,18:15:00,HNCroton Harmon HS,Holy Name-Cr 6G C Bl,St Pats-Arm ^^ 6G C Bl
Girls,6,St Pats-Arm ^^ 6G C Bl,2026-01-25,P39,18:00:00,St Patrick-Armonk,St Pats-Arm ^^ 6G C Bl,Reformed CH Blue^^ 6G C Bl
Girls,6,St Pats-Arm ^^ 6G C Bl,2026-02-01,P40,15:00:00,St Johns-Mahopac,St John-Mah 6G C Bl,St Pats-Arm ^^ 6G C Bl
Girls,6,St Pats-Arm 6G B,2025-11-23,P6,15:15:00,St Patrick-Yorktown,St Pats-York 6G B,St Pats-Arm 6G B
Girls,6,St Pats-Arm 6G B,2025-12-06,P19,11:00:00,St Patrick-Armonk,St Pats-Arm 6G B,Annunciation 6G B
Girls,6,St Pats-Arm 6G B,2025-12-07,P18,16:00:00,St Theresa-Briarcliff,St Theresa-Briar 6G B,St Pats-Arm 6G B
Girls,6,St Pats-Arm 6G B,2025-12-13,P32,13:15:00,St Anthony-W. Harrison,St Anthony-WH Navy 6G B,St Pats-Arm 6G B
Girls,6,St Pats-Arm 6G B,2025-12-21,P58,19:30:00,IC-Tuckahoe,IC-Tuck 6G B,St Pats-Arm 6G B
Girls,6,St Pats-Arm 6G B,2025-12-25,P63,12:15:00,**TO BE SCHEDULED,St Pats-Arm 6G B,OL Loretto-CS 6G B
Girls,6,St Pats-Arm 6G B,2026-01-11,P71,18:15:00,St Gregory-Harrison,St Gregory 6G B,St Pats-Arm 6G B
Girls,6,St Pats-Arm 6G B,2026-01-25,P45,14:15:00,Holy Rosary-Hawthorne,Holy Rosary Blue 6G B,St Pats-Arm 6G B
Girls,6,St Pats-Arm 6G B,2026-01-30,P41,19:00:00,CYO Spellman Rec,St Pats-Arm 6G B,IHM-Scars 6G B
Girls,6,St Pats-Arm 6G B,2026-01-31,P74,09:45:00,St Patrick-Armonk,St Pats-Arm 6G B,St Joes-Bxville 6G B
Girls,6,St Pats-Arm 6G B,2026-02-07,P52,14:45:00,St Patrick-Armonk,St Pats-Arm 6G B,Holy Innocent White 6G B
Girls,7,St Pats-Arm ^^ 7G C Bl,2025-11-22,P2,14:00:00,OLPH/St Catharine-Pelham,OLPH-Pel 7G C Bl,St Pats-Arm ^^ 7G C Bl
Girls,7,St Pats-Arm ^^ 7G C Bl,2025-11-23,P26,14:15:00,St Patrick-Armonk,Holy Rosary Gold 7G C Bl,St Pats-Arm ^^ 7G C Bl
Girls,7,St Pats-Arm ^^ 7G C Bl,2025-12-13,P7,13:15:00,St Patrick-Armonk,St Pats-Arm ^^ 7G C Bl,Annunciation 7G C Bl
Girls,7,St Pats-Arm ^^ 7G C Bl,2025-12-14,P6,19:15:00,Holy Rosary-Hawthorne,Holy Rosary Gold 7G C Bl,St Pats-Arm ^^ 7G C Bl
Girls,7,St Pats-Arm ^^ 7G C Bl,2025-12-21,P10,11:45:00,St Patrick-Armonk,St Pats-Arm ^^ 7G C Bl,Holy Rosary Blue 7G C Bl
Girls,7,St Pats-Arm ^^ 7G C Bl,2026-01-03,P16,19:45:00,St Patrick-Armonk,St Pats-Arm ^^ 7G C Bl,Holy Rosary Gold 7G C Bl
Girls,7,St Pats-Arm ^^ 7G C Bl,2026-01-10,P17,13:45:00,Annunciation OL Fatima,Annunciation 7G C Bl,St Pats-Arm ^^ 7G C Bl
Girls,7,St Pats-Arm ^^ 7G C Bl,2026-01-11,P12,19:15:00,St Patrick-Armonk,St Pats-Arm ^^ 7G C Bl,OLPH-Pel 7G C Bl
Girls,7,St Pats-Arm ^^ 7G C Bl,2026-01-17,P22,11:30:00,OLPH/St Catharine-Pelham,OLPH-Pel 7G C Bl,St Pats-Arm ^^ 7G C Bl
Girls,7,St Pats-Arm ^^ 7G C Bl,2026-01-31,P20,12:15:00,Holy Rosary-Hawthorne,Holy Rosary Blue 7G C Bl,St Pats-Arm ^^ 7G C Bl
Girls,7,St Pats-Arm ^^ 7G C Bl,2026-02-01,P27,11:45:00,St Patrick-Armonk,St Pats-Arm ^^ 7G C Bl,Annunciation 7G C Bl
Girls,7,St Pats-Arm ^^ 7G C Bl,2026-02-07,P30,16:00:00,St Patrick-Armonk,St Pats-Arm ^^ 7G C Bl,Holy Rosary Blue 7G C Bl
Girls,7,St Pats-Arm 7G B,2025-11-22,P3,17:15:00,St Patrick-Armonk,St Pats-Arm 7G B,Resurrection BLUE 7G B
Girls,7,St Pats-Arm 7G B,2025-12-06,P20,16:30:00,CYO Spellman Rec,IHM-Scars 7G B,St Pats-Arm 7G B
Girls,7,St Pats-Arm 7G B,2025-12-07,P9,13:00:00,Annunciation OL Fatima,Annunciation 7G B,St Pats-Arm 7G B
Girls,7,St Pats-Arm 7G B,2025-12-13,P12,09:30:00,St Patrick-Armonk,St Pats-Arm 7G B,OL Loretto-CS ^^ 7G B
Girls,7,St Pats-Arm 7G B,2025-12-21,P30,16:45:00,St Patrick-Armonk,St Pats-Arm 7G B,St Pats-Bed Green 7G B
Girls,7,St Pats-Arm 7G B,2026-01-03,P21,09:30:00,Ann Seton-Shrub Oak,Ann Seton 7G B,St Pats-Arm 7G B
Girls,7,St Pats-Arm 7G B,2026-01-04,P32,19:15:00,Holy Rosary-Hawthorne,Holy Rosary White 7G B,St Pats-Arm 7G B
Girls,7,St Pats-Arm 7G B,2026-01-10,P43,17:15:00,St Patrick-Armonk,St Pats-Arm 7G B,St Matthew-Hast 7G B
Girls,7,St Pats-Arm 7G B,2026-01-11,P39,18:00:00,St Patrick-Armonk,St Pats-Arm 7G B,St Pats-Bed White 7G B
Girls,7,St Pats-Arm 7G B,2026-01-24,P48,19:00:00,Resurrection Doty Gym,Resurrection BLUE 7G B,St Pats-Arm 7G B
Girls,7,St Pats-Arm 7G B,2026-01-25,P54,13:00:00,St Patrick-Armonk,St Pats-Arm 7G B,Annunciation 7G B
Girls,7,St Pats-Arm 7G B,2026-02-08,P57,13:00:00,St Patrick-Armonk,OL Loretto-CS ^^ 7G B,St Pats-Arm 7G B
